,precision,recall,f1-score,support
batasan_medis,1.0,1.0,1.0,8.0
cek_stok_produk,1.0,1.0,1.0,8.0
greeting,1.0,1.0,1.0,6.0
info_jam_operasional,1.0,1.0,1.0,8.0
info_pembayaran,1.0,1.0,1.0,8.0
info_pemesanan,1.0,1.0,1.0,8.0
info_pengiriman,1.0,1.0,1.0,8.0
info_promo,1.0,1.0,1.0,8.0
info_resep,1.0,1.0,1.0,8.0
konsultasi_apoteker,1.0,1.0,1.0,8.0
out_of_scope,1.0,1.0,1.0,6.0
rekomendasi_alat_kesehatan,1.0,1.0,1.0,8.0
rekomendasi_batuk_flu,1.0,1.0,1.0,8.0
rekomendasi_demam_nyeri,0.6666666666666666,1.0,0.8,8.0
rekomendasi_pencernaan,1.0,0.5,0.6666666666666666,8.0
rekomendasi_perawatan_luka,1.0,1.0,1.0,8.0
rekomendasi_produk_bayi,1.0,1.0,1.0,8.0
rekomendasi_vitamin,1.0,1.0,1.0,8.0
accuracy,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
macro avg,0.9814814814814814,0.9722222222222222,0.9703703703703704,140.0
weighted avg,0.9809523809523808,0.9714285714285714,0.9695238095238097,140.0
